GRBname,Trig_ID,T90,T90_err,redshift,z_err,conversion
GRB180311A,813721.0,23.04,8.712467,,,3.17e-11
GRB180224A,811561.0,10.92,3.568276,,,4.3299999999999995e-11
GRB180222A,811235.0,42.304,12.74307,,,6.379999999999999e-11
GRB180221A,811074.0,11.0,3.162278,,,
GRB180205A,808625.0,15.536,3.146993,1.409,,3.4e-11
GRB180204A,808483.0,1.164,0.1170982,,,4.4199999999999993e-11
GRB180115A,805318.0,39.144,2.992023,2.487,,3.4199999999999996e-11
GRB180113A,804999.0,64.0,16.0,,,
GRB180111A,804692.0,50.892,1.880136,,,3.87e-11
GRB180103A,803066.0,150.4,1.6,,,
GRB180102A,802999.0,11.56,1.731802,,,3.48e-11
GRB171222A,799669.0,173.872,23.86951,2.409,,3.29e-11
GRB171216A,797441.0,30.08,7.586093,,,4.12e-11
GRB171212A,796778.0,304.0,64.0,,,8.57e-11
GRB171211A,796469.0,2.176,0.455368,,,4.3399999999999994e-11
GRB171209A,796100.0,161.648,30.75877,1.8-2.8,,3.4199999999999996e-11
GRB171205A,794972.0,190.472,33.88084,0.037,,4.0499999999999996e-11
GRB171123A,791922.0,58.464,27.05325,,,2.97e-11
GRB171120A,791201.0,64.0,16.0,,,6.919999999999999e-11
GRB171115A,790053.0,36.772,5.180241,,,3.91e-11
GRB171103A,785850.0,4.268,1.105854,,,
GRB171102B,785510.0,18.88,3.915107,,,7.299999999999999e-11
GRB171027A,783479.0,96.772,4.90697,,,3.83e-11
GRB171027A,783479.0,96.772,4.90697,,,3.83e-11
GRB171020A,780845.0,41.856,9.191579,1.87,,4.469999999999999e-11
GRB171020A,780845.0,41.856,9.191579,1.87,,4.469999999999999e-11
GRB171011A,778154.0,2.28,0.2329979,,,
GRB171010B,778019.0,30.4,1.6,,,
GRB171007A,777215.0,68.424,19.32885,,,4.9e-11
GRB171004A,776347.0,105.54,14.30644,,,3.3799999999999996e-11
GRB171001A,775553.0,20.916,1.351077,,,3.1099999999999995e-11
GRB170921A,773509.0,28.8,5.925533,,,3.4199999999999996e-11
GRB170912B,772052.0,17.884,7.833112,,,8.9e-11
GRB170912A,772006.0,21.184,5.435481,,,3.71e-11
GRB170906C,770981.0,45.076,4.800244,,,3.37e-11
GRB170906B,770958.0,19.2,1.6,,,5.36e-11
GRB170906A,770957.0,88.112,1.444798,,,3.64e-11
GRB170903A,770528.0,27.724,4.506508,0.886,,3.84e-11
GRB170827A,769567.0,98.624,31.70298,,,3e-11
GRB170823A,769177.0,69.408,12.03175,,,
GRB170822A,768939.0,64.0,16.0,,,4.3600000000000003e-11
GRB170813A,767563.0,72.544,12.10174,,,4.16e-11
GRB170810A,767284.0,152.42,21.49788,,,3.47e-11
GRB170807A,766821.0,36.324,7.972911,,,
GRB170804A,766194.0,56.48,18.68044,,,3.2599999999999996e-11
GRB170803A,766081.0,3.82,0.2368121,,,3.72e-11
GRB170728B,765130.0,47.68,26.4967,,,4.0499999999999996e-11
GRB170728A,765008.0,1.248,0.2468684,,,3.32e-11
GRB170724A,764204.0,98.98,20.75716,,,
GRB170714A,762535.0,459.216,94.60989,0.793,,3.8199999999999995e-11
GRB170711A,761622.0,31.212,7.390577,,,4.15e-11
GRB170710B,86619001.0,54.4,1.6,,,
GRB170710A,761119.0,33.12,10.86116,,,3.62e-11
GRB170705A,760064.0,223.204,15.55201,2.010,,3.64e-11
GRB170629A,759159.0,34.428,12.76203,,,5.16e-11
GRB170626A,758766.0,12.948,0.3465948,,,3.71e-11
GRB170607A,756284.0,320.0,172.3253,0.557,,3.4e-11
GRB170604A,755867.0,26.528,2.839763,1.329,,3.66e-11
GRB170531B,755354.0,170.296,9.106015,2.366,,3.3799999999999996e-11
GRB170531A,755343.0,32.304,7.928195,,,3.87e-11
GRB170526A,754549.0,8.312,2.4456,,,2.91e-11
GRB170524B,753445006.0,46.4,1.6,,,
GRB170524A,754322.0,0.1039999,0.01788858,,,
GRB170519A,753445.0,220.252,143.8385,0.818,,3.4e-11
GRB170516A,753110.0,36.768,11.61786,,,3.25e-11
GRB170428A,750298.0,0.1999999,0.07375638,,,2.5099999999999996e-11
GRB170419B,748947.0,65.856,11.26015,,,
GRB170419A,748898.0,7.776,1.751105,,,3.92e-11
GRB170405A,745797.0,165.312,32.89292,3.510,,3.61e-11
GRB170331A,744791.0,17.616,2.476901,,,3.36e-11
GRB170330A,744773.0,144.468,2.18785,,,4.24e-11
GRB170325A,34941009.0,0.3319999,0.07088015,,,
GRB170318B,743086.0,1.072,0.2218468,,,9.56e-11
GRB170318A,743065.0,116.916,31.52705,,,8.529999999999999e-11
GRB170317A,742866.0,11.952,4.874961,,,3.53e-11
GRB170311A,741965.0,9.0,2.828427,,,4.8399999999999996e-11
GRB170307A,741528.0,29.92,28.17616,,,
GRB170306A,741220.0,21.008,6.527453,,,3.9399999999999994e-11
